",""nwspol"",""polintr"",""vote"",""yrbrn"",""trstlgl"",""trstplc"",""trstplt"",""trstprt"",""trstep"""
"57,60,""Hardly interested"",""Yes"",1996,""5"",""5"",""5"",""5"",""5"""
"58,30,""Hardly interested"",""Not eligible to vote"",1984,""Complete trust"",""1"",""3"",""2"",""9"""
"59,90,""Very interested"",""Yes"",1974,""9"",""9"",""4"",""5"",""5"""
"60,90,""Very interested"",""Yes"",1956,""6"",""8"",""7"",""3"",""1"""
"61,30,""Hardly interested"",""Yes"",1968,""8"",""8"",""6"",""6"",""9"""
"62,60,""Hardly interested"",""Yes"",1954,""7"",""5"",""2"",""4"",NA"
"63,60,""Quite interested"",""Yes"",1992,""9"",""8"",""3"",""3"",""8"""
"64,45,""Hardly interested"",""Yes"",1991,""Complete trust"",""Complete trust"",""7"",""6"",NA"
"65,30,""Quite interested"",""Yes"",1962,""8"",""7"",""7"",""6"",""7"""
"66,10,""Hardly interested"",""Yes"",1974,""8"",""8"",""3"",""4"",""7"""
"67,30,""Hardly interested"",""Not eligible to vote"",2000,""9"",""9"",""5"",""6"",NA"
"68,120,""Quite interested"",""Yes"",1953,""7"",""6"",""6"",""6"",NA"
"69,10,""Hardly interested"",""Yes"",1978,""7"",""9"",""5"",""5"",""7"""
"70,90,""Quite interested"",""Yes"",1965,""4"",""8"",""3"",""3"",""No trust at all"""
"71,60,""Quite interested"",""Not eligible to vote"",2001,""7"",""7"",""6"",""6"",""8"""
"72,60,""Hardly interested"",""No"",1983,""7"",""6"",""4"",""4"",""4"""
"73,120,""Very interested"",""Yes"",1930,""Complete trust"",""7"",""3"",""3"",""5"""
"74,60,""Quite interested"",""Yes"",1943,""9"",""8"",""7"",""6"",""5"""
"75,90,""Hardly interested"",""Yes"",1946,""8"",""8"",""8"",""7"",""7"""
"76,15,""Not at all interested"",""Yes"",1994,""8"",""9"",""6"",""6"",NA"
"77,848,""Hardly interested"",""Yes"",1999,""8"",""Complete trust"",""8"",""7"",""8"""
"78,60,""Hardly interested"",""Yes"",1970,""8"",""Complete trust"",""5"",""4"",""5"""
"79,240,""Hardly interested"",""Yes"",1963,""8"",""8"",""5"",""5"",""5"""
"80,120,""Quite interested"",""Yes"",1962,""8"",""9"",""3"",""3"",""No trust at all"""
"81,30,""Hardly interested"",NA,1995,""7"",""Complete trust"",""6"",""5"",""8"""
"82,45,""Hardly interested"",""Yes"",1987,""8"",""7"",""5"",""5"",""6"""
"83,60,""Hardly interested"",""Yes"",1962,""8"",""7"",""5"",""5"",""8"""
"84,120,""Hardly interested"",""Yes"",1973,""9"",""Complete trust"",""7"",""7"",NA"
"85,60,""Quite interested"",""Yes"",1950,""4"",""3"",""2"",""2"",""2"""
"86,60,""Quite interested"",""No"",1986,""8"",""8"",""6"",""5"",""5"""
"87,30,""Hardly interested"",""Yes"",1997,""Complete trust"",""9"",""7"",""6"",""9"""
"88,10,""Quite interested"",""Yes"",1971,""2"",""1"",""1"",""No trust at all"",""No trust at all"""
"89,20,""Quite interested"",""Yes"",NA,""6"",""8"",""7"",""7"",""7"""
"90,90,""Quite interested"",""Yes"",1980,""9"",""8"",""7"",""7"",""7"""
"91,90,""Quite interested"",""Yes"",1960,""Complete trust"",""9"",""7"",""9"",""5"""
"92,616,""Hardly interested"",""Yes"",1986,""6"",""7"",""5"",""4"",""4"""
"93,60,""Quite interested"",""Yes"",1976,""4"",""2"",""3"",""1"",""3"""
"94,120,""Hardly interested"",""Yes"",1973,""Complete trust"",""9"",""5"",""6"",""6"""
"95,90,""Hardly interested"",""Yes"",1957,""9"",""Complete trust"",""6"",""8"",""8"""
"96,45,""Quite interested"",""Yes"",1977,""8"",""2"",""6"",""5"",""7"""
"97,120,""Hardly interested"",""Yes"",1964,""7"",""8"",""3"",""4"",""5"""
"98,120,""Hardly interested"",""Yes"",1972,""8"",""8"",""5"",""5"",""7"""
"99,30,""Hardly interested"",""Yes"",1971,""3"",""5"",""3"",""3"",""5"""
"100,90,""Quite interested"",""Yes"",1950,""7"",""8"",""4"",""5"",NA"
"101,60,""Quite interested"",""Yes"",1970,""9"",""8"",""7"",""8"",""7"""
"102,90,""Very interested"",""Yes"",1979,""6"",""8"",""5"",""7"",""5"""
"103,15,""Hardly interested"",""Not eligible to vote"",2002,""7"",""7"",""7"",""7"",""6"""
"104,15,""Quite interested"",""Yes"",1986,""7"",""7"",""8"",""8"",""6"""
"105,15,""Hardly interested"",""No"",1991,""7"",""7"",""5"",""5"",""6"""
"106,15,""Hardly interested"",""No"",1996,""3"",""2"",""1"",""1"",NA"
"107,60,""Hardly interested"",""Yes"",1953,""9"",""Complete trust"",""6"",""6"",""6"""
"108,30,""Quite interested"",""No"",2002,""Complete trust"",""Complete trust"",""8"",""8"",""9"""
"109,30,""Hardly interested"",""Not eligible to vote"",1970,""8"",""9"",""7"",""7"",""6"""
"110,120,""Quite interested"",""Yes"",1983,""8"",""8"",""1"",""1"",""4"""
"111,672,""Hardly interested"",""Yes"",1999,""8"",""Complete trust"",""7"",""7"",""8"""
"112,60,""Quite interested"",""Yes"",1974,""8"",""9"",""7"",""6"",""4"""
"113,30,""Very interested"",""Yes"",1973,""9"",""9"",""5"",""6"",""5"""
"114,90,""Quite interested"",""Yes"",1973,""9"",""9"",""6"",""6"",NA"
"115,60,""Quite interested"",""Yes"",1964,""8"",""8"",""5"",""6"",""4"""
"116,60,""Quite interested"",""Yes"",1963,""9"",""8"",""5"",""6"",""6"""
"117,30,""Hardly interested"",""Yes"",1979,""7"",""7"",""5"",""4"",""4"""
"118,120,""Very interested"",""Yes"",1979,""8"",""8"",""3"",""5"",NA"
"119,30,""Hardly interested"",""Yes"",1997,""6"",""7"",""5"",""5"",NA"
"120,30,""Quite interested"",""Yes"",1958,""8"",""9"",""7"",""7"",""7"""
"121,180,""Quite interested"",""Yes"",1985,""7"",""1"",""1"",""3"",""3"""
"122,240,""Very interested"",""Yes"",1972,""9"",""8"",""7"",""7"",""6"""
"123,120,""Very interested"",""Yes"",1956,""8"",""8"",""7"",""6"",NA"
"124,180,""Very interested"",""Yes"",1957,""2"",""7"",""1"",""1"",""No trust at all"""
"125,90,""Quite interested"",""Yes"",1931,""9"",""8"",""8"",""7"",NA"
"126,60,""Hardly interested"",""Yes"",1989,""4"",""2"",""5"",""4"",""5"""
"127,60,""Quite interested"",""Yes"",1977,""9"",""7"",""5"",""5"",""6"""
"128,15,""Hardly interested"",""Yes"",1973,""5"",""8"",""6"",""6"",""6"""
"129,60,""Quite interested"",""Yes"",1962,""7"",""8"",""5"",""5"",""5"""
"130,45,""Hardly interested"",""No"",1972,""5"",""7"",""5"",""5"",""5"""
"131,120,""Quite interested"",""Yes"",1960,""6"",""7"",""7"",""7"",NA"
"132,NA,""Hardly interested"",""Yes"",1952,""9"",""9"",""5"",""6"",""6"""
"133,60,""Very interested"",""Yes"",1993,""Complete trust"",""Complete trust"",""7"",""7"",""8"""
"134,45,""Hardly interested"",""Yes"",1983,""Complete trust"",""7"",""4"",""4"",""6"""
"135,45,""Hardly interested"",""Not eligible to vote"",1963,""8"",""Complete trust"",""5"",""6"",""6"""
"136,60,""Quite interested"",""Yes"",1976,""8"",""7"",""6"",""6"",""6"""
"137,60,""Hardly interested"",""No"",1977,""9"",""5"",""5"",""5"",NA"
"138,60,""Not at all interested"",""Not eligible to vote"",2000,""6"",""4"",""5"",""7"",""8"""
"139,30,""Quite interested"",""Yes"",1972,""8"",""8"",""3"",""3"",NA"
"140,15,""Hardly interested"",""Yes"",1968,""7"",""8"",""6"",""5"",""6"""
"141,15,""Not at all interested"",""Not eligible to vote"",2003,""8"",""9"",""2"",""2"",""5"""
"142,NA,""Hardly interested"",""Yes"",1993,""8"",""4"",""3"",""6"",""7"""
"143,60,""Very interested"",""Yes"",1970,""9"",""6"",""6"",""6"",""7"""
"144,150,""Quite interested"",""Yes"",1950,""8"",""9"",""7"",""8"",""6"""
"145,90,""Very interested"",""Yes"",1959,""Complete trust"",""Complete trust"",""9"",""7"",""6"""
"146,60,""Hardly interested"",""Yes"",1974,""9"",""9"",""5"",""6"",NA"
"147,90,""Hardly interested"",""Yes"",1972,""Complete trust"",""Complete trust"",""3"",""3"",""3"""
"148,40,""Quite interested"",""Yes"",1984,""8"",""8"",""7"",""7"",""5"""
"149,30,""Not at all interested"",""Not eligible to vote"",1978,""8"",""8"",""7"",""7"",""8"""
"150,15,""Hardly interested"",""Yes"",1993,""6"",""8"",""4"",""5"",""4"""
"151,120,""Very interested"",""Yes"",1965,""8"",""7"",""8"",""8"",""6"""
"152,5,""Hardly interested"",""No"",1983,""6"",""4"",""5"",""6"",""No trust at all"""
"153,45,""Quite interested"",""No"",1972,""No trust at all"",""6"",""1"",""1"",""4"""
"154,60,""Quite interested"",""Yes"",1952,""6"",""8"",""5"",""5"",""6"""
"155,240,""Quite interested"",""Yes"",1986,""Complete trust"",""Complete trust"",""7"",""7"",""8"""
"156,120,""Hardly interested"",""Yes"",1944,""Complete trust"",""8"",""7"",""7"",""7"""
"157,30,""Very interested"",""Yes"",1984,""7"",""5"",""7"",""7"",""7"""
"158,NA,""Very interested"",""Yes"",1943,""9"",""Complete trust"",""4"",""1"",""5"""
"159,30,""Hardly interested"",""Yes"",1980,""7"",""7"",""6"",""5"",""5"""
"160,754,""Hardly interested"",""Yes"",1931,""9"",""9"",""8"",""7"",""8"""
"161,60,""Quite interested"",""Yes"",1949,""Complete trust"",""9"",""8"",""8"",""5"""
"162,90,""Quite interested"",""Yes"",1981,""9"",""7"",""6"",""7"",""8"""
"163,45,""Hardly interested"",""Yes"",NA,""9"",""Complete trust"",""6"",""6"",""3"""
"164,30,""Very interested"",""Yes"",1998,""8"",""Complete trust"",""7"",""7"",""8"""
"165,240,""Quite interested"",""Yes"",1978,""8"",""9"",""5"",""8"",""9"""
"166,90,""Quite interested"",""Yes"",1963,""4"",""6"",""2"",""2"",""1"""
"167,60,""Hardly interested"",""Yes"",1967,NA,""6"",NA,""7"",""1"""
"168,60,""Hardly interested"",""Yes"",1978,""8"",""8"",""6"",""6"",""5"""
"169,20,""Quite interested"",""Not eligible to vote"",2000,""5"",""3"",""3"",""3"",NA"
"170,120,""Hardly interested"",""Yes"",1994,""7"",""5"",""2"",""2"",""5"""
"171,120,""Quite interested"",""Yes"",1945,""Complete trust"",""8"",""5"",""5"",""6"""
"172,40,""Quite interested"",""Yes"",1943,""5"",""Complete trust"",""5"",""5"",""5"""
"173,3,""Not at all interested"",""Not eligible to vote"",1971,""6"",""7"",""4"",""3"",NA"
"174,60,""Quite interested"",""Yes"",1958,""8"",""9"",""6"",""6"",""6"""
"175,45,""Hardly interested"",""Yes"",1934,""5"",""4"",""5"",""5"",NA"
"176,90,""Very interested"",""Not eligible to vote"",2002,""Complete trust"",""Complete trust"",""7"",""6"",""5"""
"177,60,""Hardly interested"",""Yes"",1988,""9"",""6"",""5"",""5"",""5"""
"178,30,""Hardly interested"",""No"",1972,""7"",""7"",""7"",""7"",NA"
"179,60,""Quite interested"",""Yes"",1959,""8"",""8"",""3"",""4"",""6"""
"180,150,""Quite interested"",""Not eligible to vote"",2002,""No trust at all"",""No trust at all"",""No trust at all"",""No trust at all"",NA"
"181,120,""Very interested"",""Yes"",1972,""9"",""8"",""4"",""5"",""3"""
"182,10,""Hardly interested"",""No"",1971,""8"",""8"",""7"",""7"",NA"
"183,1109,""Quite interested"",""Yes"",1959,""9"",""8"",""7"",""6"",""7"""
"184,180,""Very interested"",""Yes"",1932,""3"",""8"",""3"",""3"",""7"""
"185,120,""Hardly interested"",""No"",1967,""6"",""9"",""6"",""5"",""6"""
"186,45,""Hardly interested"",""Yes"",1997,""8"",""8"",""No trust at all"",""No trust at all"",""No trust at all"""
"187,0,""Not at all interested"",""No"",1986,""8"",""7"",""4"",""3"",NA"
"188,15,""Not at all interested"",""No"",1981,""8"",""9"",""6"",""6"",""7"""
"189,120,""Hardly interested"",""Yes"",1939,""Complete trust"",""8"",""5"",""No trust at all"",NA"
"190,10,""Not at all interested"",""No"",2001,""8"",""7"",""7"",""7"",NA"
"191,120,""Quite interested"",""Yes"",1947,""6"",""3"",""2"",""1"",NA"
"192,30,""Quite interested"",""Yes"",1993,""5"",""7"",""1"",""1"",NA"
"193,30,""Hardly interested"",""Yes"",1960,""8"",""8"",""6"",""6"",NA"
"194,0,""Hardly interested"",""Not eligible to vote"",2003,""Complete trust"",""Complete trust"",""Complete trust"",""Complete trust"",""Complete trust"""
"195,60,""Hardly interested"",""No"",1998,""7"",""6"",""4"",""5"",""3"""
"196,30,""Hardly interested"",""Not eligible to vote"",2001,NA,""8"",""4"",""5"",NA"
"197,60,""Quite interested"",""Yes"",1966,""Complete trust"",""Complete trust"",""8"",""8"",""8"""
"198,90,""Quite interested"",""Yes"",1981,""8"",""6"",""7"",""7"",""5"""
"199,300,""Hardly interested"",""Yes"",1937,""9"",""9"",""5"",""5"",""6"""
"200,480,""Very interested"",""Yes"",1953,""Complete trust"",""7"",""9"",""9"",""7"""
"201,60,""Very interested"",""Yes"",1969,""8"",""Complete trust"",""6"",""6"",""2"""
"202,40,""Hardly interested"",""Yes"",1973,""8"",""9"",""3"",""3"",NA"
"203,60,""Very interested"",""Yes"",1987,""6"",""8"",""4"",""3"",""9"""
"204,30,""Hardly interested"",""Yes"",1987,""9"",""6"",""6"",""6"",""9"""
"205,20,""Quite interested"",""Yes"",1971,""9"",""7"",""6"",""6"",""4"""
"206,180,""Quite interested"",""Yes"",1942,""7"",""9"",""8"",""7"",""6"""
"207,60,""Hardly interested"",""Yes"",1999,""8"",""6"",""4"",""5"",""5"""
"208,60,""Hardly interested"",""Yes"",1964,""8"",""Complete trust"",""6"",""6"",NA"
"209,150,""Quite interested"",""Yes"",1946,""4"",""4"",""1"",""1"",""1"""
"210,60,""Quite interested"",""Yes"",1955,""8"",""7"",""6"",""6"",""5"""
"211,20,""Hardly interested"",""Yes"",1969,""7"",""6"",""6"",""7"",""3"""
"212,NA,""Quite interested"",""No"",NA,""Complete trust"",""Complete trust"",""Complete trust"",""Complete trust"",""No trust at all"""
"213,60,""Hardly interested"",""Yes"",1946,""Complete trust"",""Complete trust"",""7"",""7"",NA"
"214,180,""Hardly interested"",""Yes"",1954,""9"",""9"",""7"",""7"",NA"
"215,60,""Very interested"",""Yes"",1979,""8"",""1"",""1"",""5"",""1"""
"216,45,""Quite interested"",""Yes"",1964,""6"",""7"",""5"",""6"",NA"
"217,963,""Quite interested"",""Yes"",1996,""8"",""9"",""3"",""5"",""3"""
"218,90,""Hardly interested"",""Yes"",1969,""6"",""9"",""2"",""3"",""2"""
"219,120,""Very interested"",""Yes"",1966,""9"",""8"",""7"",""7"",""6"""
"220,30,""Hardly interested"",""Yes"",1937,""7"",""8"",""7"",""5"",""8"""
"221,30,""Quite interested"",""Yes"",1972,""9"",""9"",""6"",""7"",""7"""
"222,120,""Quite interested"",""Yes"",1950,""9"",""8"",""5"",""5"",""3"""
"223,20,""Very interested"",""Yes"",1994,""3"",""3"",""2"",""3"",""3"""
"224,30,""Hardly interested"",""Yes"",1977,""9"",""8"",""4"",""6"",NA"
"225,20,""Hardly interested"",""Yes"",1991,""9"",""9"",""8"",""8"",""8"""
"226,60,""Quite interested"",""No"",1989,""3"",""6"",""No trust at all"",""2"",""No trust at all"""
"227,120,""Quite interested"",""Yes"",1948,""3"",""3"",""5"",""4"",""5"""
"228,60,""Quite interested"",""Yes"",1948,""6"",""9"",""4"",""4"",""3"""
"229,240,""Hardly interested"",""Yes"",1943,""6"",""6"",""5"",""6"",""6"""
"230,150,""Very interested"",""Yes"",1957,""7"",""6"",""2"",""3"",""3"""
"231,NA,""Quite interested"",""Not eligible to vote"",1982,""Complete trust"",""9"",""7"",""9"",""5"""
"232,75,""Quite interested"",""Yes"",1969,""9"",""9"",""6"",""8"",""8"""
"233,60,""Quite interested"",""Yes"",1982,""8"",""7"",""4"",""5"",""1"""
"234,75,""Quite interested"",""Yes"",1982,""8"",""8"",""7"",""6"",""7"""
"235,60,""Very interested"",""Yes"",1956,""9"",""9"",""9"",""8"",""4"""
"236,10,""Hardly interested"",""Yes"",1987,""8"",""9"",""5"",""5"",""7"""
"237,60,""Hardly interested"",""Yes"",1981,""8"",""8"",""5"",""5"",""5"""
"238,10,""Not at all interested"",""No"",1981,""9"",""7"",""7"",""7"",""7"""
"239,10,""Hardly interested"",""No"",1976,""Complete trust"",""Complete trust"",""7"",""7"",""7"""
"240,90,""Quite interested"",""Yes"",1961,""7"",""6"",""5"",""5"",""5"""
"241,120,""Very interested"",""Yes"",1970,""9"",""9"",""6"",""6"",""5"""
"242,30,""Quite interested"",""Yes"",1944,""8"",""9"",""No trust at all"",""No trust at all"",""4"""
"243,60,""Quite interested"",""Yes"",1954,""8"",""8"",""6"",""6"",""6"""
"244,120,""Very interested"",""Yes"",1983,""6"",""7"",""3"",""4"",""5"""
"245,836,""Not at all interested"",""No"",1993,""7"",""8"",""5"",""4"",NA"
"246,120,""Very interested"",""Yes"",1944,""9"",""Complete trust"",""8"",""8"",""7"""
"247,60,""Quite interested"",""Yes"",1960,""5"",""6"",""6"",""6"",""7"""
"248,240,""Hardly interested"",""Yes"",1985,""6"",""6"",""5"",""6"",""6"""
"249,30,""Hardly interested"",""Yes"",1983,""6"",""8"",""2"",""2"",NA"
"250,30,""Hardly interested"",""Yes"",1998,""6"",""9"",""3"",""4"",""5"""
"251,15,""Hardly interested"",""Not eligible to vote"",2001,""Complete trust"",""Complete trust"",""8"",""7"",""7"""
"252,30,""Hardly interested"",""Yes"",1978,""7"",""7"",""6"",""5"",""4"""
"253,30,""Hardly interested"",""Not eligible to vote"",1978,""Complete trust"",""Complete trust"",""Complete trust"",""6"",""Complete trust"""
"254,30,""Hardly interested"",""Yes"",1975,""2"",""2"",""3"",""5"",""5"""
"255,30,""Quite interested"",""Yes"",1992,""6"",""8"",""4"",""6"",""5"""
"256,10,""Quite interested"",""Not eligible to vote"",2000,""7"",""8"",""6"",""6"",NA"
"257,25,""Hardly interested"",""Yes"",1940,""8"",""9"",""4"",""3"",NA"
"258,120,""Quite interested"",""Yes"",1936,""9"",""8"",""7"",""6"",""5"""
"259,45,""Hardly interested"",""Yes"",1961,""7"",""8"",""5"",""5"",""4"""
"260,90,""Hardly interested"",""Yes"",NA,""5"",""5"",""4"",""5"",""5"""
"261,150,""Very interested"",""Yes"",1991,""8"",""8"",""5"",""4"",""5"""
"262,120,""Quite interested"",""Yes"",1994,""8"",""9"",""8"",""6"",""8"""
"263,60,""Quite interested"",""Yes"",1977,""8"",""8"",""7"",""6"",""7"""
"264,15,""Very interested"",""No"",1968,""Complete trust"",""Complete trust"",""9"",""9"",""7"""
"265,20,""Hardly interested"",""Yes"",1998,""5"",""8"",""4"",""6"",""7"""
"266,120,""Quite interested"",""Yes"",1971,""9"",""7"",""4"",""4"",""2"""
"267,120,""Hardly interested"",""Yes"",1942,""8"",""7"",""5"",""5"",""5"""
"268,60,""Quite interested"",""Yes"",1958,""Complete trust"",""9"",""9"",""7"",""6"""
"269,150,""Hardly interested"",""Yes"",1963,""6"",""6"",""5"",""5"",""6"""
"270,60,""Quite interested"",""Yes"",1978,""7"",""7"",""1"",""2"",NA"
"271,60,""Hardly interested"",""No"",1962,""7"",""4"",""4"",""5"",""3"""
"272,30,""Hardly interested"",""No"",1971,""9"",""7"",""5"",""6"",""5"""
"273,45,""Quite interested"",""Yes"",1972,""8"",""9"",""6"",""6"",""5"""
"274,120,""Quite interested"",""Yes"",1940,""Complete trust"",""Complete trust"",""8"",""8"",""7"""
"275,65,""Hardly interested"",""Yes"",1958,""9"",""6"",""6"",""7"",""6"""
"276,981,""Quite interested"",""Yes"",1939,""9"",""8"",""5"",""5"",""5"""
"277,300,""Very interested"",""Yes"",1945,""8"",""7"",""6"",""6"",""4"""
"278,120,""Quite interested"",""Yes"",1950,""7"",""8"",""7"",""8"",""5"""
"279,120,""Quite interested"",""Yes"",1944,""5"",""6"",""5"",""5"",NA"
"280,300,""Quite interested"",""Yes"",1966,""6"",""8"",""4"",""6"",""5"""
"281,15,""Hardly interested"",""Not eligible to vote"",2003,""6"",""Complete trust"",""9"",""9"",""8"""
"282,90,""Quite interested"",""Yes"",1966,""9"",""Complete trust"",""4"",""2"",""2"""
"283,150,""Hardly interested"",""Yes"",1961,""7"",""7"",""7"",""6"",""6"""
"284,120,""Quite interested"",""Yes"",1932,""8"",""8"",""7"",""7"",""8"""
"285,120,""Quite interested"",""Yes"",1963,""1"",""1"",""1"",""1"",""1"""
"286,120,""Very interested"",""Yes"",1961,""8"",""8"",""6"",""7"",""6"""
"287,30,""Quite interested"",""Yes"",1949,""8"",""8"",""9"",""9"",""7"""
"288,716,""Hardly interested"",""Yes"",1946,""7"",""8"",""6"",""5"",""6"""
"289,30,""Hardly interested"",""Not eligible to vote"",2000,""5"",""5"",""3"",""3"",NA"
"290,0,""Hardly interested"",""Yes"",1985,""Complete trust"",""Complete trust"",""7"",""8"",""7"""
"291,60,""Quite interested"",""Yes"",1963,""9"",""9"",""8"",""7"",""7"""
"292,30,""Quite interested"",""Yes"",1996,NA,""8"",""8"",""8"",""6"""
"293,30,""Hardly interested"",""Yes"",1977,""8"",""9"",""7"",""4"",""5"""
"294,120,""Quite interested"",""Yes"",1997,""9"",""9"",""6"",""8"",""8"""
"295,120,""Quite interested"",""Yes"",1975,""9"",""9"",""3"",""4"",""7"""
"296,120,""Hardly interested"",""Yes"",1949,""8"",""8"",""5"",""5"",""5"""
"297,60,""Hardly interested"",""No"",1948,""Complete trust"",""Complete trust"",""5"",""5"",""2"""
"298,120,""Hardly interested"",""Yes"",1954,""8"",""8"",""4"",""3"",""1"""
"299,180,""Hardly interested"",""Yes"",1964,""8"",""Complete trust"",""No trust at all"",""3"",""No trust at all"""
"300,20,""Hardly interested"",""Yes"",1971,""8"",""Complete trust"",""4"",""6"",""8"""
"301,90,""Very interested"",""Yes"",1969,""9"",""8"",""6"",""6"",""5"""
"302,180,""Quite interested"",""Yes"",1943,""8"",""7"",""6"",""6"",""6"""
"303,10,""Hardly interested"",""Not eligible to vote"",2002,""9"",""9"",""6"",""6"",""6"""
"304,10,""Hardly interested"",""Not eligible to vote"",2003,""Complete trust"",""9"",""8"",""9"",""Complete trust"""
"305,10,""Quite interested"",""Yes"",1982,""9"",""8"",""7"",""8"",""9"""
"306,20,""Quite interested"",""Yes"",1970,""9"",""9"",""7"",""7"",""6"""
"307,NA,""Hardly interested"",""Yes"",1985,""8"",""8"",""7"",""7"",NA"
"308,30,""Quite interested"",""Yes"",1980,""6"",""6"",""2"",""2"",""3"""
