nwspol,polintr,vote,yrbrn,trstlgl,trstplc,trstplt,trstprt,trstep
60,Quite interested,Yes,1977,9,7,5,5,6
15,Hardly interested,Yes,1973,5,8,6,6,6
60,Quite interested,Yes,1962,7,8,5,5,5
45,Hardly interested,No,1972,5,7,5,5,5
120,Quite interested,Yes,1960,6,7,7,7,NA
NA,Hardly interested,Yes,1952,9,9,5,6,6
60,Very interested,Yes,1993,Complete trust,Complete trust,7,7,8
45,Hardly interested,Yes,1983,Complete trust,7,4,4,6
45,Hardly interested,Not eligible to vote,1963,8,Complete trust,5,6,6
60,Quite interested,Yes,1976,8,7,6,6,6
60,Hardly interested,No,1977,9,5,5,5,NA
60,Not at all interested,Not eligible to vote,2000,6,4,5,7,8
30,Quite interested,Yes,1972,8,8,3,3,NA
15,Hardly interested,Yes,1968,7,8,6,5,6
15,Not at all interested,Not eligible to vote,2003,8,9,2,2,5
NA,Hardly interested,Yes,1993,8,4,3,6,7
60,Very interested,Yes,1970,9,6,6,6,7
150,Quite interested,Yes,1950,8,9,7,8,6
90,Very interested,Yes,1959,Complete trust,Complete trust,9,7,6
60,Hardly interested,Yes,1974,9,9,5,6,NA
90,Hardly interested,Yes,1972,Complete trust,Complete trust,3,3,3
40,Quite interested,Yes,1984,8,8,7,7,5
30,Not at all interested,Not eligible to vote,1978,8,8,7,7,8
15,Hardly interested,Yes,1993,6,8,4,5,4
120,Very interested,Yes,1965,8,7,8,8,6
5,Hardly interested,No,1983,6,4,5,6,No trust at all
45,Quite interested,No,1972,No trust at all,6,1,1,4
60,Quite interested,Yes,1952,6,8,5,5,6
240,Quite interested,Yes,1986,Complete trust,Complete trust,7,7,8
120,Hardly interested,Yes,1944,Complete trust,8,7,7,7
30,Very interested,Yes,1984,7,5,7,7,7
NA,Very interested,Yes,1943,9,Complete trust,4,1,5
30,Hardly interested,Yes,1980,7,7,6,5,5
754,Hardly interested,Yes,1931,9,9,8,7,8
60,Quite interested,Yes,1949,Complete trust,9,8,8,5
90,Quite interested,Yes,1981,9,7,6,7,8
45,Hardly interested,Yes,NA,9,Complete trust,6,6,3
30,Very interested,Yes,1998,8,Complete trust,7,7,8
240,Quite interested,Yes,1978,8,9,5,8,9
90,Quite interested,Yes,1963,4,6,2,2,1
60,Hardly interested,Yes,1967,NA,6,NA,7,1
60,Hardly interested,Yes,1978,8,8,6,6,5
20,Quite interested,Not eligible to vote,2000,5,3,3,3,NA
120,Hardly interested,Yes,1994,7,5,2,2,5
120,Quite interested,Yes,1945,Complete trust,8,5,5,6
40,Quite interested,Yes,1943,5,Complete trust,5,5,5
3,Not at all interested,Not eligible to vote,1971,6,7,4,3,NA
60,Quite interested,Yes,1958,8,9,6,6,6
45,Hardly interested,Yes,1934,5,4,5,5,NA
90,Very interested,Not eligible to vote,2002,Complete trust,Complete trust,7,6,5
60,Hardly interested,Yes,1988,9,6,5,5,5
30,Hardly interested,No,1972,7,7,7,7,NA
60,Quite interested,Yes,1959,8,8,3,4,6
150,Quite interested,Not eligible to vote,2002,No trust at all,No trust at all,No trust at all,No trust at all,NA
120,Very interested,Yes,1972,9,8,4,5,3
10,Hardly interested,No,1971,8,8,7,7,NA
1109,Quite interested,Yes,1959,9,8,7,6,7
180,Very interested,Yes,1932,3,8,3,3,7
120,Hardly interested,No,1967,6,9,6,5,6
45,Hardly interested,Yes,1997,8,8,No trust at all,No trust at all,No trust at all
0,Not at all interested,No,1986,8,7,4,3,NA
15,Not at all interested,No,1981,8,9,6,6,7
120,Hardly interested,Yes,1939,Complete trust,8,5,No trust at all,NA
10,Not at all interested,No,2001,8,7,7,7,NA
120,Quite interested,Yes,1947,6,3,2,1,NA
30,Quite interested,Yes,1993,5,7,1,1,NA
30,Hardly interested,Yes,1960,8,8,6,6,NA
0,Hardly interested,Not eligible to vote,2003,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust
60,Hardly interested,No,1998,7,6,4,5,3
30,Hardly interested,Not eligible to vote,2001,NA,8,4,5,NA
60,Quite interested,Yes,1966,Complete trust,Complete trust,8,8,8
90,Quite interested,Yes,1981,8,6,7,7,5
300,Hardly interested,Yes,1937,9,9,5,5,6
480,Very interested,Yes,1953,Complete trust,7,9,9,7
60,Very interested,Yes,1969,8,Complete trust,6,6,2
40,Hardly interested,Yes,1973,8,9,3,3,NA
60,Very interested,Yes,1987,6,8,4,3,9
30,Hardly interested,Yes,1987,9,6,6,6,9
20,Quite interested,Yes,1971,9,7,6,6,4
180,Quite interested,Yes,1942,7,9,8,7,6
60,Hardly interested,Yes,1999,8,6,4,5,5
60,Hardly interested,Yes,1964,8,Complete trust,6,6,NA
150,Quite interested,Yes,1946,4,4,1,1,1
60,Quite interested,Yes,1955,8,7,6,6,5
20,Hardly interested,Yes,1969,7,6,6,7,3
NA,Quite interested,No,NA,Complete trust,Complete trust,Complete trust,Complete trust,No trust at all
60,Hardly interested,Yes,1946,Complete trust,Complete trust,7,7,NA
180,Hardly interested,Yes,1954,9,9,7,7,NA
60,Very interested,Yes,1979,8,1,1,5,1
45,Quite interested,Yes,1964,6,7,5,6,NA
963,Quite interested,Yes,1996,8,9,3,5,3
90,Hardly interested,Yes,1969,6,9,2,3,2
120,Very interested,Yes,1966,9,8,7,7,6
30,Hardly interested,Yes,1937,7,8,7,5,8
30,Quite interested,Yes,1972,9,9,6,7,7
120,Quite interested,Yes,1950,9,8,5,5,3
20,Very interested,Yes,1994,3,3,2,3,3
30,Hardly interested,Yes,1977,9,8,4,6,NA
20,Hardly interested,Yes,1991,9,9,8,8,8
60,Quite interested,No,1989,3,6,No trust at all,2,No trust at all
120,Quite interested,Yes,1948,3,3,5,4,5
60,Quite interested,Yes,1948,6,9,4,4,3
240,Hardly interested,Yes,1943,6,6,5,6,6
150,Very interested,Yes,1957,7,6,2,3,3
NA,Quite interested,Not eligible to vote,1982,Complete trust,9,7,9,5
75,Quite interested,Yes,1969,9,9,6,8,8
60,Quite interested,Yes,1982,8,7,4,5,1
75,Quite interested,Yes,1982,8,8,7,6,7
60,Very interested,Yes,1956,9,9,9,8,4
10,Hardly interested,Yes,1987,8,9,5,5,7
60,Hardly interested,Yes,1981,8,8,5,5,5
10,Not at all interested,No,1981,9,7,7,7,7
10,Hardly interested,No,1976,Complete trust,Complete trust,7,7,7
90,Quite interested,Yes,1961,7,6,5,5,5
120,Very interested,Yes,1970,9,9,6,6,5
30,Quite interested,Yes,1944,8,9,No trust at all,No trust at all,4
60,Quite interested,Yes,1954,8,8,6,6,6
120,Very interested,Yes,1983,6,7,3,4,5
836,Not at all interested,No,1993,7,8,5,4,NA
120,Very interested,Yes,1944,9,Complete trust,8,8,7
60,Quite interested,Yes,1960,5,6,6,6,7
240,Hardly interested,Yes,1985,6,6,5,6,6
30,Hardly interested,Yes,1983,6,8,2,2,NA
30,Hardly interested,Yes,1998,6,9,3,4,5
15,Hardly interested,Not eligible to vote,2001,Complete trust,Complete trust,8,7,7
30,Hardly interested,Yes,1978,7,7,6,5,4
30,Hardly interested,Not eligible to vote,1978,Complete trust,Complete trust,Complete trust,6,Complete trust
30,Hardly interested,Yes,1975,2,2,3,5,5
30,Quite interested,Yes,1992,6,8,4,6,5
10,Quite interested,Not eligible to vote,2000,7,8,6,6,NA
25,Hardly interested,Yes,1940,8,9,4,3,NA
120,Quite interested,Yes,1936,9,8,7,6,5
45,Hardly interested,Yes,1961,7,8,5,5,4
90,Hardly interested,Yes,NA,5,5,4,5,5
150,Very interested,Yes,1991,8,8,5,4,5
120,Quite interested,Yes,1994,8,9,8,6,8
60,Quite interested,Yes,1977,8,8,7,6,7
15,Very interested,No,1968,Complete trust,Complete trust,9,9,7
20,Hardly interested,Yes,1998,5,8,4,6,7
120,Quite interested,Yes,1971,9,7,4,4,2
120,Hardly interested,Yes,1942,8,7,5,5,5
60,Quite interested,Yes,1958,Complete trust,9,9,7,6
150,Hardly interested,Yes,1963,6,6,5,5,6
60,Quite interested,Yes,1978,7,7,1,2,NA
60,Hardly interested,No,1962,7,4,4,5,3
30,Hardly interested,No,1971,9,7,5,6,5
45,Quite interested,Yes,1972,8,9,6,6,5
120,Quite interested,Yes,1940,Complete trust,Complete trust,8,8,7
65,Hardly interested,Yes,1958,9,6,6,7,6
981,Quite interested,Yes,1939,9,8,5,5,5
300,Very interested,Yes,1945,8,7,6,6,4
120,Quite interested,Yes,1950,7,8,7,8,5
120,Quite interested,Yes,1944,5,6,5,5,NA
300,Quite interested,Yes,1966,6,8,4,6,5
15,Hardly interested,Not eligible to vote,2003,6,Complete trust,9,9,8
90,Quite interested,Yes,1966,9,Complete trust,4,2,2
150,Hardly interested,Yes,1961,7,7,7,6,6
120,Quite interested,Yes,1932,8,8,7,7,8
120,Quite interested,Yes,1963,1,1,1,1,1
120,Very interested,Yes,1961,8,8,6,7,6
30,Quite interested,Yes,1949,8,8,9,9,7
716,Hardly interested,Yes,1946,7,8,6,5,6
30,Hardly interested,Not eligible to vote,2000,5,5,3,3,NA
0,Hardly interested,Yes,1985,Complete trust,Complete trust,7,8,7
60,Quite interested,Yes,1963,9,9,8,7,7
30,Quite interested,Yes,1996,NA,8,8,8,6
30,Hardly interested,Yes,1977,8,9,7,4,5
120,Quite interested,Yes,1997,9,9,6,8,8
120,Quite interested,Yes,1975,9,9,3,4,7
120,Hardly interested,Yes,1949,8,8,5,5,5
60,Hardly interested,No,1948,Complete trust,Complete trust,5,5,2
120,Hardly interested,Yes,1954,8,8,4,3,1
180,Hardly interested,Yes,1964,8,Complete trust,No trust at all,3,No trust at all
20,Hardly interested,Yes,1971,8,Complete trust,4,6,8
90,Very interested,Yes,1969,9,8,6,6,5
180,Quite interested,Yes,1943,8,7,6,6,6
10,Hardly interested,Not eligible to vote,2002,9,9,6,6,6
10,Hardly interested,Not eligible to vote,2003,Complete trust,9,8,9,Complete trust
10,Quite interested,Yes,1982,9,8,7,8,9
20,Quite interested,Yes,1970,9,9,7,7,6
NA,Hardly interested,Yes,1985,8,8,7,7,NA
30,Quite interested,Yes,1980,6,6,2,2,3
10,Hardly interested,Not eligible to vote,2001,6,8,8,7,6
180,Quite interested,Yes,1958,8,9,6,6,7
5,Hardly interested,Yes,1989,5,7,2,2,NA
60,Hardly interested,Yes,1964,9,9,8,8,7
10,Hardly interested,Yes,1998,4,4,3,5,5
180,Very interested,Yes,1957,Complete trust,Complete trust,8,7,7
45,Hardly interested,Not eligible to vote,2003,8,9,9,8,7
5,Hardly interested,No,1979,8,8,3,3,5
10,Hardly interested,Yes,1997,7,8,7,7,7
120,Hardly interested,Yes,1964,9,9,6,6,5
30,Quite interested,Yes,1987,9,9,7,7,7
60,Very interested,Yes,1980,9,8,7,7,6
150,Quite interested,Yes,1957,5,5,3,5,5
75,Hardly interested,No,1980,3,3,2,2,2
30,Hardly interested,Yes,1957,9,9,7,5,6
60,Quite interested,Yes,1957,7,9,8,7,7
90,Quite interested,Yes,1956,9,9,4,4,2
30,Hardly interested,Yes,1994,7,3,3,5,6
120,Quite interested,Yes,1996,3,7,6,7,5
30,Hardly interested,Yes,1989,8,4,4,4,7
60,Hardly interested,Yes,1992,7,7,5,4,NA
1010,Hardly interested,Yes,1973,7,8,4,5,5
60,Hardly interested,Yes,1995,6,6,3,4,5
30,Quite interested,No,1984,Complete trust,Complete trust,6,5,NA
60,Quite interested,Yes,1956,8,8,4,4,NA
90,Hardly interested,Yes,1956,5,6,4,7,7
60,Quite interested,Yes,1983,9,7,7,9,5
120,Very interested,Yes,1972,1,2,5,6,4
60,Hardly interested,Yes,1976,8,8,7,8,5
10,Hardly interested,Yes,1983,6,5,5,5,7
45,Quite interested,Yes,1965,9,9,7,7,7
60,Quite interested,Yes,1953,9,9,3,4,4
120,Hardly interested,Yes,1951,4,4,4,6,4
60,Quite interested,Yes,1949,Complete trust,Complete trust,8,8,7
120,Quite interested,Yes,1972,8,8,6,6,7
120,Quite interested,Yes,1974,7,7,7,6,5
60,Very interested,Yes,1956,8,8,5,6,NA
45,Quite interested,Yes,1969,8,6,5,6,6
30,Quite interested,Yes,1966,7,8,1,1,NA
240,Very interested,Yes,1970,8,6,7,7,6
15,Hardly interested,Yes,1976,7,8,5,6,NA
30,Hardly interested,Yes,1961,9,9,7,7,8
15,Quite interested,Yes,1982,7,6,5,4,6
15,Quite interested,Yes,1970,9,9,7,7,NA
30,Hardly interested,No,1944,8,8,8,8,8
90,Quite interested,Yes,1986,8,8,3,3,5
15,Hardly interested,Yes,1955,7,5,4,8,5
15,Not at all interested,Yes,1996,8,6,3,5,5
30,Quite interested,Yes,1959,9,9,5,6,5
60,Hardly interested,Yes,1958,4,4,3,3,2
60,Hardly interested,Yes,1952,No trust at all,2,No trust at all,No trust at all,No trust at all
NA,Very interested,Yes,1966,5,8,No trust at all,No trust at all,2
20,Hardly interested,Yes,1962,8,5,5,6,NA
75,Quite interested,Yes,1996,6,8,3,3,5
120,Quite interested,Yes,1952,2,3,2,2,NA
10,Hardly interested,Yes,1965,5,6,3,3,5
15,Not at all interested,No,1996,3,3,5,3,5
784,Very interested,Yes,1956,9,9,6,6,NA
30,Not at all interested,Yes,1980,8,8,7,8,Complete trust
NA,Very interested,Yes,1961,6,6,5,5,7
20,Hardly interested,Yes,1966,9,3,4,6,4
90,Hardly interested,Yes,1995,7,8,6,6,7
45,Quite interested,Not eligible to vote,1983,5,4,3,4,2
15,Not at all interested,Yes,1968,6,6,2,4,3
10,Hardly interested,No,1981,8,7,7,7,9
120,Quite interested,Yes,1937,5,8,2,9,6
150,Hardly interested,Yes,1997,Complete trust,Complete trust,7,7,Complete trust
180,Hardly interested,Yes,1951,8,8,6,7,6
30,Hardly interested,Yes,1996,Complete trust,Complete trust,5,5,NA
0,Not at all interested,Not eligible to vote,1962,5,5,5,4,5
60,Quite interested,No,2000,Complete trust,Complete trust,9,Complete trust,Complete trust
60,Hardly interested,Yes,1988,8,6,No trust at all,6,8
755,Quite interested,Yes,1964,9,9,7,6,5
180,Quite interested,Yes,1928,7,7,5,4,6
60,Hardly interested,No,1984,8,8,6,5,7
360,Very interested,Yes,1953,9,5,3,4,7
45,Hardly interested,Yes,1982,8,8,5,5,NA
300,Hardly interested,Yes,1992,7,8,5,5,5
90,Hardly interested,Yes,1968,9,9,4,4,4
15,Quite interested,Yes,1992,9,9,7,7,7
30,Hardly interested,Yes,1958,6,6,6,7,6
60,Quite interested,Yes,1985,8,Complete trust,5,5,NA
30,Very interested,Yes,1958,6,7,2,2,2
10,Hardly interested,No,1992,3,6,4,4,3
NA,Not at all interested,Yes,NA,9,9,5,7,NA
40,Quite interested,Yes,1995,7,7,6,6,6
30,Quite interested,Yes,1955,8,9,5,5,6
120,Quite interested,No,2001,9,8,7,7,6
30,Hardly interested,Yes,1989,9,8,7,7,6
60,Quite interested,Yes,1959,Complete trust,Complete trust,5,7,3
120,Not at all interested,Yes,1928,9,Complete trust,8,5,NA
60,Hardly interested,Not eligible to vote,1978,NA,NA,NA,8,7
NA,Hardly interested,Yes,1991,Complete trust,Complete trust,7,7,NA
30,Not at all interested,Not eligible to vote,1986,4,7,4,4,6
5,Not at all interested,Yes,1983,6,6,4,4,5
20,Hardly interested,Yes,1977,NA,Complete trust,7,7,7
30,Quite interested,Yes,1984,8,7,5,5,2
15,Hardly interested,Yes,1970,9,8,8,8,8
120,Quite interested,Yes,1956,7,7,4,4,4
NA,Hardly interested,No,1993,Complete trust,Complete trust,9,9,5
180,Hardly interested,Yes,1940,8,8,7,5,6
120,Quite interested,Yes,1959,9,Complete trust,8,7,6
60,Quite interested,Yes,1946,6,8,6,7,8
30,Very interested,Yes,1961,7,7,5,5,6
1,Hardly interested,Yes,1990,8,Complete trust,7,7,NA
10,Hardly interested,Yes,1986,8,7,6,6,5
45,Quite interested,Yes,1957,6,5,5,5,5
844,Quite interested,Not eligible to vote,1944,9,8,4,4,3
NA,Hardly interested,Yes,1972,4,5,2,2,3
30,Hardly interested,Not eligible to vote,1989,7,9,8,5,7
90,Hardly interested,Yes,1986,6,6,3,5,5
60,Not at all interested,Yes,1977,9,8,7,7,7
30,Hardly interested,Yes,1978,9,9,3,6,5
120,Hardly interested,Not eligible to vote,2002,6,8,5,5,7
120,Quite interested,Yes,1943,5,6,2,5,5
30,Hardly interested,Yes,1989,4,4,5,5,5
420,Quite interested,Yes,1995,7,Complete trust,7,6,7
120,Very interested,Yes,1977,Complete trust,9,6,6,5
30,Hardly interested,Yes,1968,8,8,6,6,5
10,Hardly interested,Not eligible to vote,2003,NA,8,6,7,NA
747,Quite interested,Yes,1986,9,8,7,7,7
30,Hardly interested,No,1980,8,8,7,7,6
270,Very interested,Yes,1950,8,6,4,4,5
180,Hardly interested,Yes,1944,9,9,7,6,4
10,Not at all interested,Yes,1975,5,5,No trust at all,No trust at all,No trust at all
60,Very interested,Yes,1966,8,8,5,5,5
60,Hardly interested,Yes,1976,8,8,6,6,5
10,Hardly interested,Yes,1976,7,7,2,2,5
30,Not at all interested,Yes,1948,3,4,1,1,No trust at all
30,Hardly interested,Yes,1999,7,6,6,7,9
120,Very interested,Yes,1952,9,9,6,7,1
60,Hardly interested,Yes,1951,8,7,4,4,5
180,Very interested,Yes,1947,8,7,6,6,7
150,Quite interested,Yes,1947,5,5,5,5,4
90,Hardly interested,Yes,1959,7,6,6,6,4
30,Not at all interested,No,1991,1,1,1,1,1
995,Quite interested,No,1975,Complete trust,Complete trust,3,3,5
30,Hardly interested,Not eligible to vote,2003,8,9,8,8,NA
30,Hardly interested,Yes,1982,8,9,4,5,6
785,Hardly interested,Not eligible to vote,1986,5,6,4,4,4
120,Quite interested,Yes,1947,7,9,6,6,5
90,Hardly interested,Yes,1997,9,9,5,5,5
20,Hardly interested,Yes,1979,7,5,5,5,6
20,Hardly interested,No,1993,4,No trust at all,No trust at all,3,No trust at all
60,Hardly interested,Yes,1988,7,7,5,6,6
60,Quite interested,Yes,1976,9,9,6,6,5
60,Quite interested,Yes,1949,9,6,5,5,5
13,Hardly interested,Yes,1992,5,8,2,2,5
NA,Quite interested,Yes,1948,7,7,3,4,4
10,Hardly interested,Not eligible to vote,2000,Complete trust,Complete trust,9,9,Complete trust
90,Very interested,Yes,1983,7,5,4,4,5
120,Quite interested,Yes,1962,7,7,4,2,No trust at all
1003,Quite interested,Yes,1987,7,6,4,4,8
30,Hardly interested,Yes,1962,8,8,7,7,7
90,Quite interested,Not eligible to vote,NA,Complete trust,Complete trust,7,6,8
120,Quite interested,Yes,1957,Complete trust,6,6,7,7
60,Hardly interested,Yes,1984,6,7,4,4,5
90,Quite interested,Yes,1971,Complete trust,Complete trust,5,6,NA
60,Hardly interested,Yes,1961,3,5,1,3,5
60,Very interested,Yes,1972,1,No trust at all,No trust at all,1,1
15,Quite interested,Yes,1955,8,9,8,8,5
60,Not at all interested,Not eligible to vote,1956,7,7,5,5,3
120,Quite interested,No,1944,8,7,7,7,7
45,Hardly interested,Yes,1980,9,9,6,6,6
60,Hardly interested,Yes,1991,3,3,No trust at all,No trust at all,NA
90,Very interested,Yes,1949,Complete trust,Complete trust,7,7,5
30,Hardly interested,Not eligible to vote,2000,8,9,7,5,7
90,Hardly interested,Yes,1939,7,Complete trust,7,7,7
120,Quite interested,Yes,1957,7,7,4,3,5
120,Quite interested,Yes,1967,Complete trust,9,8,6,7
60,Quite interested,Yes,1947,Complete trust,9,8,8,8
240,Very interested,Yes,1975,7,7,6,6,6
60,Quite interested,Yes,1972,8,8,5,6,5
80,Quite interested,Yes,1947,9,8,6,6,NA
30,Hardly interested,No,1970,6,6,5,5,8
60,Quite interested,Not eligible to vote,2003,7,6,5,5,6
120,Quite interested,Yes,1955,8,9,7,6,5
0,Not at all interested,Yes,1976,2,No trust at all,6,5,NA
120,Hardly interested,Yes,1967,8,9,7,7,7
40,Hardly interested,Yes,1959,8,8,6,5,5
120,Very interested,Yes,1969,8,9,6,6,7
30,Not at all interested,Yes,1975,2,1,1,1,NA
480,Quite interested,Yes,1995,9,9,7,6,6
150,Very interested,Yes,NA,7,7,5,6,NA
60,Quite interested,Yes,1952,Complete trust,9,7,7,6
30,Hardly interested,Yes,1983,7,6,3,8,No trust at all
40,Hardly interested,Yes,1999,8,Complete trust,5,5,NA
5,Hardly interested,Not eligible to vote,2003,9,6,6,5,NA
30,Quite interested,Not eligible to vote,2002,9,9,6,6,NA
60,Quite interested,Yes,1958,Complete trust,8,6,5,5
5,Hardly interested,Yes,1994,9,9,7,7,NA
60,Hardly interested,Yes,1997,9,Complete trust,9,9,6
60,Quite interested,Yes,1979,7,8,6,8,7
60,Quite interested,Yes,1982,8,7,8,8,7
120,Quite interested,Yes,1944,8,8,6,5,5
15,Quite interested,Yes,1979,7,8,4,5,7
360,Hardly interested,Yes,1965,5,8,5,5,NA
150,Quite interested,Yes,1955,9,9,7,8,4
60,Quite interested,No,1966,8,8,5,5,1
10,Hardly interested,Not eligible to vote,2003,7,7,6,6,NA
15,Hardly interested,Yes,1972,Complete trust,Complete trust,6,5,8
30,Hardly interested,No,1984,7,7,5,5,3
60,Quite interested,No,1938,7,8,4,4,3
60,Hardly interested,Yes,1966,7,5,5,5,6
45,Hardly interested,Yes,1969,9,Complete trust,6,5,5
